serial,name,value,notes
1194,CC_angular_resolution,1.076,
1194,CC_dark_counts_cdom,49.0,
1194,CC_dark_counts_chlorophyll_a,49.0,
1194,CC_dark_counts_volume_scatter,49.0,
1194,CC_depolarization_ratio,0.039,
1194,CC_measurement_wavelength,700.0,
1194,CC_scale_factor_cdom,0.14309,Original scale factor (0.0889) corrected by Sea-Bird with the new value of 0.14309 = 0.0889 * 5.62 * 0.28639
1194,CC_scale_factor_chlorophyll_a,0.0121,
1194,CC_scale_factor_volume_scatter,3.082e-06,
1194,CC_scattering_angle,124.0,
